" Datos Básicos  - Familiares que trabajan en explotaciones agrarias"
"Datos de: INDICADOR=FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS"
"FAMILIA INDICADOR",,"AGRICULTURA",
"INDICADOR",,"FAMILIARES QUE TRABAJAN EN EXPLOTACIONES AGRARIAS",
,,VALOR,
FECHA,MUNICIPIO,Sum,
,"34182 TORQUEMADA",         261,
,"34184 TORREMORMOJON",          36,
,"34185 TRIOLLO",          59,
,"34186 VALBUENA DE PISUERGA",          56,
,"34189 VALDEOLMILLOS",          51,
,"34190 VALDERRABANO",          82,
,"34192 VALDE-UCIEZA",         180,
,"34196 VALLE DE CERRATO",          82,
,"34199 VELILLA DEL RIO CARRION",         363,
,"34201 VERTAVILLO",         125,
,"34202 VILLABASTA DE VALDAVIA",          23,
,"34204 VILLACIDALER",          65,
,"34205 VILLACONANCIO",          76,
,"34206 VILLADA",         186,
,"34208 VILLAELES DE VALDAVIA",          54,
,"34210 VILLAHAN",         100,
,"34211 VILLAHERREROS",         125,
,"34213 VILLALACO",          40,
,"34214 VILLALBA DE GUARDO",          83,
,"34215 VILLALCAZAR DE SIRGA",          85,
,"34216 VILLALCON",          62,
,"34217 VILLALOBON",         149,
,"34218 VILLALUENGA DE LA VEGA",         436,
,"34220 VILLAMARTIN DE CAMPOS",         130,
,"34221 VILLAMEDIANA",          97,
,"34222 VILLAMERIEL",          97,
,"34223 VILLAMORONTA",         142,
,"34224 VILLAMUERA DE LA CUEZA",          59,
,"34225 VILLAMURIEL DE CERRATO",         288,
,"34227 VILLANUEVA DEL REBOLLAR",          60,
,"34228 VILLANUÑO DE VALDAVIA",          56,
,"34229 VILLAPROVEDO",          58,
,"34230 VILLARMENTERO DE CAMPOS",          19,
,"34231 VILLARRABE",         239,
,"34232 VILLARRAMIEL",         126,
,"34233 VILLASARRACINO",         105,
,"34234 VILLASILA DE VALDAVIA",          76,
,"34236 VILLATURDE",         191,
,"34237 VILLAUMBRALES",         421,
,"34238 VILLAVIUDAS",         196,
,"34240 VILLERIAS DE CAMPOS",          65,
,"34241 VILLODRE",          34,
,"34242 VILLODRIGO",          23,
,"34243 VILLOLDO",         144,
,"34245 VILLOTA DEL PARAMO",         269,
,"34246 VILLOVIECO",          83,
,"34901 OSORNO LA MAYOR",         332,
,"34902 VALLE DEL RETORTILLO",         225,
,"34903 LOMA DE UCIEZA",         165,
,"34904 PERNIA (LA)",         369,
,"37001 ABUSEJO",          87,
,"37002 AGALLAS",         201,
,"37003 AHIGAL DE LOS ACEITEROS",         154,
,"37004 AHIGAL DE VILLARINO",          61,
,"37005 ALAMEDA DE GARDON (LA)",         140,
,"37006 ALAMEDILLA (LA)",          65,
,"37007 ALARAZ",         289,
,"37008 ALBA DE TORMES",         617,
,"37009 ALBA DE YELTES",         118,
,"37010 ALBERCA (LA)",         536,
,"37011 ALBERGUERIA DE ARGAÑAN (LA)",         108,
,"37012 ALCONADA",         113,
,"37013 ALDEACIPRESTE",         222,
,"37014 ALDEADAVILA DE LA RIBERA",        1210,
,"37015 ALDEA DEL OBISPO",         223,
,"37016 ALDEALENGUA",          67,
,"37017 ALDEANUEVA DE FIGUEROA",         237,
,"37018 ALDEANUEVA DE LA SIERRA",          74,
,"37019 ALDEARRODRIGO",         140,
,"37020 ALDEARRUBIA",         333,
,"37021 ALDEASECA DE ALBA",         111,
,"37022 ALDEASECA DE LA FRONTERA",         205,
,"37023 ALDEATEJADA",          88,
,"37024 ALDEAVIEJA DE TORMES",          64,
,"37025 ALDEHUELA DE LA BOVEDA",          84,
,"37026 ALDEHUELA DE YELTES",         226,
,"37027 ALMENARA DE TORMES",          94,
,"37028 ALMENDRA",          93,
,"37029 ANAYA DE ALBA",         179,
,"37030 AÑOVER DE TORMES",         105,
,"37031 ARABAYONA DE MOGICA",         266,
,"37032 ARAPILES",         117,
,"37033 ARCEDIANO",          84,
,"37034 ARCO (EL)",          73,
,"37035 ARMENTEROS",         145,
,"37036 SAN MIGUEL DEL ROBLEDO",          77,
,"37037 ATALAYA (LA)",         169,
,"37038 BABILAFUENTE",         311,
,"37039 BAÑOBAREZ",         176,
,"37040 BARBADILLO",         196,
,"37041 BARBALOS",         119,
,"37042 BARCEO",          52,
,"37044 BARRUECOPARDO",         168,
,"37045 BASTIDA (LA)",          45,
,"37046 BEJAR",         237,
,"37047 BELEÑA",          40,
,"37049 BERMELLAR",         176,
,"37050 BERROCAL DE HUEBRA",          96,
,"37051 BERROCAL DE SALVATIERRA",          84,
,"37052 BOADA",         107,
,"37054 BODON (EL)",         149,
,"37055 BOGAJO",         124,
,"37056 BOUZA (LA)",          57,
,"37057 BOVEDA DEL RIO ALMAR",         175,
,"37058 BRINCONES",          73,
,"37059 BUENAMADRE",          75,
,"37060 BUENAVISTA",          64,
,"37061 CABACO (EL)",         139,
,"37062 CABEZABELLOSA DE LA CALZADA",         124,
,"37063 CABEZA DE BEJAR (LA)",          88,
,"37065 CABEZA DEL CABALLO",         285,
,"37067 CABRERIZOS",         154,
,"37068 CABRILLAS",         132,
,"37069 CALVARRASA DE ABAJO",         546,
,"37070 CALVARRASA DE ARRIBA",         227,
,"37071 CALZADA DE BEJAR (LA)",         103,
,"37072 CALZADA DE DON DIEGO",         100,
,"37073 CALZADA DE VALDUNCIEL",         205,
,"37074 CAMPILLO DE AZABA",         203,
,"37077 CAMPO DE PEÑARANDA (EL)",         299,
,"37078 CANDELARIO",         220,
,"37079 CANILLAS DE ABAJO",          82,
,"37080 CANTAGALLO",         129,
,"37081 CANTALAPIEDRA",         332,
,"37082 CANTALPINO",         670,
,"37083 CANTARACILLO",         157,
,"37085 CARBAJOSA DE LA SAGRADA",         108,
,"37086 CARPIO DE AZABA",          73,
,"37087 CARRASCAL DE BARREGAS",          95,
,"37088 CARRASCAL DEL OBISPO",          52,
,"37089 CASAFRANCA",          80,
,"37090 CASAS DEL CONDE (LAS)",          57,
,"37091 CASILLAS DE FLORES",         158,
,"37092 CASTELLANOS DE MORISCOS",         109,
,"37096 CASTILLEJO DE MARTIN VIEJO",         267,
,"37097 CASTRAZ",          37,
,"37098 CEPEDA",         334,
,"37099 CERECEDA DE LA SIERRA",          93,
,"37100 CEREZAL DE PEÑAHORCADA",         137,
,"37101 CERRALBO",         198,
,"37102 CERRO (EL)",         454,
,"37103 CESPEDOSA DE TORMES",         489,
,"37104 CILLEROS DE LA BASTIDA",          41,
,"37106 CIPEREZ",         189,
,"37107 CIUDAD RODRIGO",        1086,
,"37108 COCA DE ALBA",          89,
,"37109 COLMENAR DE MONTEMAYOR",         194,
,"37110 CORDOVILLA",          91,
,"37112 CRISTOBAL",         238,
,"37113 CUBO DE DON SANCHO (EL)",         159,
,"37114 CHAGARCIA MEDIANERO",          70,
,"37115 DIOS LE GUARDE",         108,
,"37116 DOÑINOS DE LEDESMA",          80,
,"37117 DOÑINOS DE SALAMANCA",          80,
,"37118 EJEME",         144,
,"37119 ENCINA (LA)",         138,
,"37120 ENCINA DE SAN SILVESTRE",          66,
,"37121 ENCINAS DE ABAJO",         276,
,"37122 ENCINAS DE ARRIBA",         100,
,"37123 ENCINASOLA DE LOS COMENDADORES",         233,
,"37124 ENDRINAL",         186,
,"37125 ESCURIAL DE LA SIERRA",         282,
,"37126 ESPADAÑA",          43,
,"37127 ESPEJA",         179,
,"37128 ESPINO DE LA ORBADA",         133,
,"37129 FLORIDA DE LIEBANA",          81,
,"37130 FORFOLEDA",         140,
,"37131 FRADES DE LA SIERRA",          75,
,"37132 FREGENEDA (LA)",         286,
,"37133 FRESNEDOSO",         140,
,"37134 FRESNO ALHANDIGA",         120,
,"37135 FUENTE DE SAN ESTEBAN (LA)",         206,
,"37136 FUENTEGUINALDO",         322,
,"37137 FUENTELIANTE",         106,
,"37138 FUENTERROBLE DE SALVATIERRA",         241,
,"37139 FUENTES DE BEJAR",          71,
,"37140 FUENTES DE OÑORO",         114,
,"37141 GAJATES",         127,
,"37142 GALINDO Y PERAHUY",         105,
,"37143 GALINDUSTE",         153,
,"37144 GALISANCHO",         240,
,"37145 GALLEGOS DE ARGAÑAN",         140,
,"37146 GALLEGOS DE SOLMIRON",         170,
,"37147 GARCIBUEY",         241,
,"37148 GARCIHERNANDEZ",         272,
,"37149 GARCIRREY",          57,
,"37150 GEJUELO DEL BARRO",          33,
,"37151 GOLPEJAS",          60,
,"37152 GOMECELLO",         203,
,"37154 GUADRAMIRO",         132,
,"37155 GUIJO DE AVILA",          81,
,"37156 GUIJUELO",         388,
,"37157 HERGUIJUELA DE CIUDAD RODRIGO",         126,
,"37158 HERGUIJUELA DE LA SIERRA",         336,
,"37159 HERGUIJUELA DEL CAMPO",          68,
,"37160 HINOJOSA DE DUERO",         329,
,"37161 HORCAJO DE MONTEMAYOR",         222,
,"37162 HORCAJO MEDIANERO",         247,
,"37163 HOYA (LA)",          24,
,"37164 HUERTA",         175,
,"37165 IRUELOS",          31,
,"37166 ITUERO DE AZABA",         165,
,"37167 JUZBADO",          44,
,"37168 LAGUNILLA",         588,
,"37169 LARRODRIGO",         143,
,"37170 LEDESMA",         212,
,"37171 LEDRADA",         179,
,"37172 LINARES DE RIOFRIO",         372,
,"37173 LUMBRALES",         884,
,"37174 MACOTERA",         374,
,"37175 MACHACON",         341,
,"37176 MADROÑAL",         138,
,"37177 MAILLO (EL)",         177,
,"37178 MALPARTIDA",         104,
,"37179 MANCERA DE ABAJO",         189,
,"37180 MANZANO (EL)",          62,
,"37181 MARTIAGO",         369,
,"37182 MARTINAMOR",          49,
,"37183 MARTIN DE YELTES",         167,
,"37184 MASUECO",         554,
,"37185 CASTELLANOS DE VILLIQUERA",         217,
,"37186 MATA DE LEDESMA (LA)",          75,
,"37187 MATILLA DE LOS CAÑOS DEL RIO",          66,
,"37188 MAYA (LA)",          65,
,"37189 MEMBRIBE DE LA SIERRA",          51,
,"37190 MIEZA",         611,
,"37191 MILANO (EL)",         128,
,"37192 MIRANDA DE AZAN",          28,
,"37193 MIRANDA DEL CASTAÑAR",         488,
,"37194 MOGARRAZ",         229,
,"37195 MOLINILLO",         157,
,"37196 MONFORTE DE LA SIERRA",         162,
,"37197 MONLEON",          91,
,"37198 MONLERAS",         101,
,"37199 MONSAGRO",         159,
,"37200 MONTEJO",         103,
,"37201 MONTEMAYOR DEL RIO",         206,
,"37202 MONTERRUBIO DE ARMUÑA",          24,
,"37203 MONTERRUBIO DE LA SIERRA",         101,
,"37204 MORASVERDES",         267,
,"37205 MORILLE",          53,
,"37206 MORIÑIGO",          67,
,"37207 MORISCOS",          79,
,"37208 MORONTA",          94,
,"37209 MOZARBEZ",          68,
,"37211 NARROS DE MATALAYEGUA",         182,
,"37212 NAVACARROS",          48,
,"37213 NAVA DE BEJAR",          84,
,"37214 NAVA DE FRANCIA",          63,
,"37215 NAVA DE SOTROBAL",         220,
,"37216 NAVALES",         151,
,"37217 NAVALMORAL DE BEJAR",          80,
,"37218 NAVAMORALES",         247,
,"37219 NAVARREDONDA DE LA RINCONADA",         305,
,"37221 NAVASFRIAS",         416,
,"37222 NEGRILLA DE PALENCIA",         105,
,"37223 OLMEDO DE CAMACES",         113,
,"37224 ORBADA (LA)",         193,
,"37225 PAJARES DE LA LAGUNA",          72,
,"37226 PALACIOS DEL ARZOBISPO",         283,
,"37228 PALACIOSRUBIOS",         219,
,"37229 PALENCIA DE NEGRILLA",         159,
,"37230 PARADA DE ARRIBA",          69,
,"37231 PARADA DE RUBIALES",         191,
,"37232 PARADINAS DE SAN JUAN",         335,
,"37233 PASTORES",          58,
,"37234 PAYO (EL)",         160,
,"37235 PEDRAZA DE ALBA",          83,
,"37236 PEDROSILLO DE ALBA",         119,
,"37237 PEDROSILLO DE LOS AIRES",         245,
,"37238 PEDROSILLO EL RALO",          57,
,"37239 PEDROSO DE LA ARMUÑA (EL)",         133,
,"37240 PELABRAVO",         148,
,"37241 PELARRODRIGUEZ",          97,
,"37242 PELAYOS",         145,
,"37243 PEÑA (LA)",         139,
,"37244 PEÑACABALLERA",          99,
,"37245 PEÑAPARDA",         288,
,"37246 PEÑARANDA DE BRACAMONTE",         161,
,"37247 PEÑARANDILLA",         117,
,"37248 PERALEJOS DE ABAJO",          68,
,"37249 PERALEJOS DE ARRIBA",          52,
,"37250 PEREÑA DE LA RIBERA",         573,
,"37251 PEROMINGO",         112,
,"37252 PINEDAS",         255,
,"37253 PINO DE TORMES (EL)",          52,
,"37254 PITIEGUA",         249,
,"37255 PIZARRAL",          66,
,"37256 POVEDA DE LAS CINTAS",         146,
,"37257 POZOS DE HINOJO",          55,
,"37258 PUEBLA DE AZABA",         171,
,"37259 PUEBLA DE SAN MEDEL",          54,
,"37260 PUEBLA DE YELTES",         185,
,"37261 PUENTE DEL CONGOSTO",         223,
,"37262 PUERTAS",          90,
,"37263 PUERTO DE BEJAR",         136,
,"37264 PUERTO SEGURO",         121,
,"37265 RAGAMA",         225,
,"37266 REDONDA (LA)",         119,
,"37267 RETORTILLO",         102,
,"37268 RINCONADA DE LA SIERRA (LA)",         184,
,"37269 ROBLEDA",         493,
,"37270 ROBLIZA DE COJOS",          58,
,"37271 ROLLAN",         157,
,"37272 SAELICES EL CHICO",         106,
,"37273 SAGRADA (LA)",         112,
,"37274 SALAMANCA",         256,
,"37275 SALDEANA",          76,
,"37276 SALMORAL",         194,
,"37277 SALVATIERRA DE TORMES",          52,
,"37278 SAN CRISTOBAL DE LA CUESTA",          64,
,"37279 SANCTI-SPIRITUS",         350,
,"37280 SANCHON DE LA RIBERA",          83,
,"37281 SANCHON DE LA SAGRADA",          16,
,"37282 SANCHOTELLO",         362,
,"37283 SANDO",          86,
,"37284 SAN ESTEBAN DE LA SIERRA",         391,
,"37285 SAN FELICES DE LOS GALLEGOS",         384,
,"37286 SAN MARTIN DEL CASTAÑAR",         200,
,"37287 SAN MIGUEL DE VALERO",         400,
,"37288 SAN MORALES",          37,
,"37289 SAN MUÑOZ",         145,
,"37290 SAN PEDRO DEL VALLE",          53,
,"37291 SAN PEDRO DE ROZADOS",         106,
,"37292 SAN PELAYO DE GUAREÑA",          68,
,"37293 SANTA MARIA DE SANDO",         121,
,"37294 SANTA MARTA DE TORMES",          61,
,"37296 SANTIAGO DE LA PUEBLA",         423,
,"37297 SANTIBAÑEZ DE BEJAR",         164,
,"37298 SANTIBAÑEZ DE LA SIERRA",         408,
,"37299 SANTIZ",         256,
,"37300 SANTOS (LOS)",         549,
,"37301 SARDON DE LOS FRAILES",          54,
,"37302 SAUCELLE",         245,
,"37303 SAHUGO (EL)",         291,
,"37304 SEPULCRO-HILARIO",         171,
,"37305 SEQUEROS",         142,
,"37306 SERRADILLA DEL ARROYO",         337,
,"37307 SERRADILLA DEL LLANO",         377,
,"37309 SIERPE (LA)",          29,
,"37310 SIETEIGLESIAS DE TORMES",          87,
,"37311 SOBRADILLO",         181,
,"37312 SORIHUELA",         158,
,"37313 SOTOSERRANO",         752,
,"37314 TABERA DE ABAJO",          56,
,"37315 TALA (LA)",          85,
,"37316 TAMAMES",         244,
,"37317 TARAZONA DE GUAREÑA",         170,
,"37318 TARDAGUILA",         230,
,"37319 TEJADO (EL)",          88,
,"37320 TEJEDA Y SEGOYUELA",          68,
,"37321 TENEBRON",         115,
,"37322 TERRADILLOS",          64,
,"37323 TOPAS",         337,
,"37324 TORDILLOS",         244,
,"37325 TORNADIZO (EL)",         139,
,"37327 TORRESMENUDAS",         111,
,"37328 TRABANCA",         167,
,"37329 TREMEDAL DE TORMES",          41,
,"37330 VALDECARROS",         194,
,"37331 VALDEFUENTES DE SANGUSIN",         259,
,"37332 VALDEHIJADEROS",          76,
,"37333 VALDELACASA",         184,
,"37334 VALDELAGEVE",         167,
,"37335 VALDELOSA",         449,
,"37336 VALDEMIERQUE",          45,
,"37337 VALDERRODRIGO",         141,
,"37338 VALDUNCIEL",          97,
,"37339 VALERO",         365,
,"37340 VALSALABROSO",         159,
,"37341 VALVERDE DE VALDELACASA",          63,
,"37342 VALVERDON",         102,
,"37343 VALLEJERA DE RIOFRIO",          43,
,"37344 VECINOS",          41,
,"37345 VEGA DE TIRADOS",          64,
,"37346 VEGUILLAS (LAS)",          58,
,"37347 VELLES (LA)",         179,
,"37348 VENTOSA DEL RIO ALMAR",         109,
,"37349 VIDOLA (LA)",         121,
,"37350 VILVESTRE",         678,
,"37351 VILLAFLORES",         254,
,"37352 VILLAGONZALO DE TORMES",         165,
,"37353 VILLALBA DE LOS LLANOS",          56,
,"37354 VILLAMAYOR",          97,
,"37355 VILLANUEVA DEL CONDE",         308,
,"37356 VILLAR DE ARGAÑAN",          97,
,"37357 VILLAR DE CIERVO",         306,
,"37358 VILLAR DE GALLIMAZO",         117,
,"37359 VILLAR DE LA YEGUA",         253,
,"37360 VILLAR DE PERALONSO",         109,
,"37361 VILLAR DE SAMANIEGO",          78,
,"37362 VILLARES DE LA REINA",         110,
,"37363 VILLARES DE YELTES",          89,
,"37364 VILLARINO DE LOS AIRES",         978,
,"37365 VILLARMAYOR",          86,
,"37366 VILLARMUERTO",          57,
,"37367 VILLASBUENAS",         172,
,"37368 VILLASDARDO",          20,
,"37369 VILLASECO DE LOS GAMITOS",          62,
,"37370 VILLASECO DE LOS REYES",         199,
,"37371 VILLASRUBIAS",         251,
,"37372 VILLAVERDE DE GUAREÑA",         125,
,"37373 VILLAVIEJA DE YELTES",         189,
,"37374 VILLORIA",         345,
,"37375 VILLORUELA",         171,
,"37376 VITIGUDINO",         246,
,"37377 YECLA DE YELTES",         175,
,"37378 ZAMARRA",         176,
,"37379 ZAMAYON",         123,
,"37380 ZARAPICOS",          19,
,"37381 ZARZA DE PUMAREDA (LA)",         153,
,"37382 ZORITA DE LA FRONTERA",         169,
,"40001 ABADES",         338,
,"40002 ADRADA DE PIRON",          28,
,"40003 ADRADOS",         214,
,"40004 AGUILAFUENTE",         331,
,"40005 ALCONADA DE MADERUELO",          66,
,"40006 ALDEALCORVO",          40,
,"40007 ALDEALENGUA DE PEDRAZA",          64,
,"40008 ALDEALENGUA DE SANTA MARIA",          53,
,"40009 ALDEANUEVA DE LA SERREZUELA",          62,
,"40010 ALDEANUEVA DEL CODONAL",         230,
,"40012 ALDEA REAL",         264,
,"40013 ALDEASOÑA",         119,
,"40014 ALDEHORNO",          95,
,"40015 ALDEHUELA DEL CODONAL",          62,
,"40016 ALDEONTE",          98,
,"40017 ANAYA",          64,
,"40018 AÑE",          76,
,"40019 ARAHUETES",          35,
,"40020 ARCONES",          97,
,"40021 AREVALILLO DE CEGA",          29,
,"40022 ARMUÑA",         160,
,"40024 AYLLON",         368,
,"40025 BARBOLLA",         132,
,"40026 BASARDILLA",          68,
,"40028 BERCIAL",          85,
,"40029 BERCIMUEL",          71,
,"40030 BERNARDOS",          90,
,"40031 BERNUY DE PORREROS",          73,
,"40032 BOCEGUILLAS",          95,
,"40033 BRIEVA",          52,
,"40034 CABALLAR",          82,
,"40035 CABAÑAS DE POLENDOS",          87,
,"40036 CABEZUELA",         327,
,"40037 CALABAZAS DE FUENTIDUEÑA",          74,
,"40039 CAMPO DE SAN PEDRO",         203,
,"40040 CANTALEJO",         914,
,"40041 CANTIMPALOS",         273,
,"40043 CARBONERO EL MAYOR",         530,
,"40044 CARRASCAL DEL RIO",         126,
,"40045 CASLA",          36,
,"40046 CASTILLEJO DE MESLEON",          64,
,"40047 CASTRO DE FUENTIDUEÑA",          65,
,"40048 CASTROJIMENO",          48,
,"40049 CASTROSERNA DE ABAJO",          38,
,"40051 CASTROSERRACIN",          55,
,"40052 CEDILLO DE LA TORRE",          78,
,"40053 CEREZO DE ABAJO",          41,
,"40054 CEREZO DE ARRIBA",          77,
,"40055 CILLERUELO DE SAN MAMES",          49,
,"40056 COBOS DE FUENTIDUEÑA",          59,
,"40057 COCA",         255,
,"40058 CODORNIZ",         447,
,"40059 COLLADO HERMOSO",          19,
,"40060 CONDADO DE CASTILNOVO",         136,
,"40061 CORRAL DE AYLLON",          97,
,"40062 CUBILLO",          32,
,"40063 CUELLAR",        2032,
,"40065 CHAÑE",         378,
,"40068 DOMINGO GARCIA",          28,
,"40069 DONHIERRO",          62,
,"40070 DURUELO",          73,
,"40071 ENCINAS",          64,
,"40072 ENCINILLAS",          70,
,"40073 ESCALONA DEL PRADO",         271,
,"40074 ESCARABAJOSA DE CABEZAS",         165,
,"40075 ESCOBAR DE POLENDOS",         150,
,"40076 ESPINAR (EL)",         488,
,"40077 ESPIRDO",         126,
,"40078 FRESNEDA DE CUELLAR",          84,
,"40079 FRESNO DE CANTESPINO",         153,
,"40080 FRESNO DE LA FUENTE",          54,
,"40081 FRUMALES",         267,
,"40082 FUENTE DE SANTA CRUZ",         118,
,"40083 FUENTE EL OLMO DE FUENTIDUEÑA",         161,
,"40084 FUENTE EL OLMO DE ISCAR",          61,
,"40086 FUENTEPELAYO",         338,
,"40087 FUENTEPIÑEL",         104,
,"40088 FUENTERREBOLLO",         394,
,"40089 FUENTESAUCO DE FUENTIDUEÑA",         229,
,"40091 FUENTESOTO",         180,
,"40092 FUENTIDUEÑA",         109,
,"40093 GALLEGOS",          62,
,"40094 GARCILLAN",         172,
,"40095 GOMEZSERRACIN",         264,
,"40097 GRAJERA",          36,
,"40099 HONRUBIA DE LA CUESTA",         108,
,"40100 HONTALBILLA",         359,
,"40101 HONTANARES DE ERESMA",          66,
,"40103 HUERTOS (LOS)",          80,
,"40104 ITUERO Y LAMA",          39,
,"40105 JUARROS DE RIOMOROS",          46,
,"40106 JUARROS DE VOLTOYA",          69,
,"40107 LABAJOS",          86,
,"40108 LAGUNA DE CONTRERAS",         129,
,"40109 LANGUILLA",          99,
,"40110 LASTRAS DE CUELLAR",         410,
,"40111 LASTRAS DEL POZO",          69,
,"40112 LASTRILLA (LA)",          70,
,"40113 LOSA (LA)",          73,
,"40115 MADERUELO",         100,
,"40118 MARAZUELA",          82,
,"40119 MARTIN MIGUEL",         145,
,"40120 MARTIN MUÑOZ DE LA DEHESA",          93,
,"40121 MARTIN MUÑOZ DE LAS POSADAS",         245,
,"40122 MARUGAN",         124,
,"40123 MATABUENA",          79,
,"40124 MATA DE CUELLAR",         171,
,"40125 MATILLA (LA)",          52,
,"40126 MELQUE DE CERCOS",          65,
,"40127 MEMBIBRE DE LA HOZ",          94,
,"40128 MIGUELAÑEZ",          59,
,"40129 MONTEJO DE AREVALO",         176,
,"40130 MONTEJO DE LA VEGA DE LA SERREZUELA",         155,
,"40131 MONTERRUBIO",          43,
,"40132 MORAL DE HORNUEZ",          87,
,"40134 MOZONCILLO",         331,
,"40135 MUÑOPEDRO",         266,
,"40136 MUÑOVEROS",         126,
,"40138 NAVA DE LA ASUNCION",         461,
,"40139 NAVAFRIA",         192,
,"40140 NAVALILLA",         159,
,"40141 NAVALMANZANO",         397,
,"40142 NAVARES DE AYUSO",          50,
,"40143 NAVARES DE ENMEDIO",          79,
,"40144 NAVARES DE LAS CUEVAS",          36,
,"40145 NAVAS DE ORO",         191,
,"40146 NAVAS DE SAN ANTONIO",         212,
,"40148 NIEVA",          93,
,"40149 OLOMBRADA",         594,
,"40150 OREJANA",         140,
,"40151 ORTIGOSA DE PESTAÑO",          46,
,"40152 OTERO DE HERREROS",         179,
,"40154 PAJAREJOS",          32,
,"40155 PALAZUELOS DE ERESMA",         184,
,"40156 PEDRAZA",         184,
,"40157 PELAYOS DEL ARROYO",          76,
,"40158 PEROSILLO",          48,
,"40159 PINAREJOS",         181,
,"40160 PINARNEGRILLO",         174,
,"40161 CARABIAS",          48,
,"40162 PRADENA",         125,
,"40163 PUEBLA DE PEDRAZA",          73,
,"40164 RAPARIEGOS",         154,
,"40165 REBOLLO",          69,
,"40166 REMONDO",         162,
,"40168 RIAGUAS DE SAN BARTOLOME",          79,
,"40170 RIAZA",         247,
,"40171 RIBOTA",          45,
,"40172 RIOFRIO DE RIAZA",         151,
,"40173 RODA DE ERESMA",          66,
,"40174 SACRAMENIA",         327,
,"40176 SAMBOAL",         315,
,"40177 SAN CRISTOBAL DE CUELLAR",         167,
,"40178 SAN CRISTOBAL DE LA VEGA",         101,
,"40179 SANCHONUÑO",         374,
,"40180 SANGARCIA",         262,
,"40181 REAL SITIO DE SAN ILDEFONSO",         132,
,"40182 SAN MARTIN Y MUDRIAN",         268,
,"40183 SAN MIGUEL DE BERNUY",         152,
,"40184 SAN PEDRO DE GAILLOS",         316,
,"40185 SANTA MARIA LA REAL DE NIEVA",         658,
,"40186 SANTA MARTA DEL CERRO",          78,
,"40188 SANTIUSTE DE PEDRAZA",          99,
,"40189 SANTIUSTE DE SAN JUAN BAUTISTA",         627,
,"40190 SANTO DOMINGO DE PIRON",          39,
,"40191 SANTO TOME DEL PUERTO",         175,
,"40192 SAUQUILLO DE CABEZAS",         101,
,"40193 SEBULCOR",         130,
,"40194 SEGOVIA",         682,
,"40195 SEPULVEDA",         562,
,"40196 SEQUERA DE FRESNO",          49,
,"40198 SOTILLO",          53,
,"40199 SOTOSALBOS",          44,
,"40200 TABANERA LA LUENGA",          52,
,"40201 TOLOCIRIO",          69,
,"40202 TORREADRADA",         100,
,"40203 TORRECABALLEROS",          60,
,"40204 TORRECILLA DEL PINAR",         126,
,"40205 TORREIGLESIAS",         266,
,"40206 TORRE VAL DE SAN PEDRO",          96,
,"40207 TRESCASAS",          76,
,"40208 TUREGANO",         364,
,"40210 URUEÑAS",         284,
,"40211 VALDEPRADOS",          37,
,"40212 VALDEVACAS DE MONTEJO",          36,
,"40213 VALDEVACAS Y GUIJAR",          84,
,"40214 VALSECA",         119,
,"40215 VALTIENDAS",         193,
,"40216 VALVERDE DEL MAJANO",         170,
,"40218 VALLE DE TABLADILLO",         189,
,"40219 VALLELADO",         437,
,"40220 VALLERUELA DE PEDRAZA",          53,
,"40221 VALLERUELA DE SEPULVEDA",          83,
,"40222 VEGANZONES",         174,
,"40223 VEGAS DE MATUTE",         130,
,"40224 VENTOSILLA Y TEJADILLA",          14,
,"40225 VILLACASTIN",         356,
,"40228 VILLAVERDE DE ISCAR",          99,
,"40229 VILLAVERDE DE MONTEJO",          91,
,"40230 VILLEGUILLO",          65,
,"40231 YANGUAS DE ERESMA",          68,
,"40233 ZARZUELA DEL MONTE",         190,
,"40234 ZARZUELA DEL PINAR",         170,
,"40901 ORTIGOSA DEL MONTE",          35,
,"40902 COZUELOS DE FUENTIDUEÑA",         138,
,"40903 MARAZOLEJA",         114,
,"40904 NAVAS DE RIOFRIO",          29,
,"40905 CUEVAS DE PROVANCO",         101,
,"42001 ABEJAR",          72,
,"42003 ADRADAS",          72,
,"42004 AGREDA",         956,
,"42006 ALCONABA",         100,
,"42007 ALCUBILLA DE AVELLANEDA",         228,
,"42008 ALCUBILLA DE LAS PEÑAS",          74,
,"42009 ALDEALAFUENTE",         109,
,"42010 ALDEALICES",          24,
,"42011 ALDEALPOZO",          14,
,"42012 ALDEALSEÑOR",          69,
,"42013 ALDEHUELA DE PERIAÑEZ",          67,
,"42014 ALDEHUELAS (LAS)",          93,
,"42015 ALENTISQUE",          50,
,"42016 ALIUD",          42,
,"42017 ALMAJANO",          88,
,"42018 ALMALUEZ",         184,
,"42019 ALMARZA",         274,
,"42020 ALMAZAN",         262,
,"42021 ALMAZUL",         150,
,"42022 ALMENAR DE SORIA",         280,
,"42023 ALPANSEQUE",          78,
,"42024 ARANCON",         152,
,"42025 ARCOS DE JALON",         341,
,"42026 ARENILLAS",          19,
,"42027 AREVALO DE LA SIERRA",          63,
,"42028 AUSEJO DE LA SIERRA",          62,
,"42029 BARAONA",         133,
,"42030 BARCA",         119,
,"42031 BARCONES",          39,
,"42032 BAYUBAS DE ABAJO",          73,
,"42033 BAYUBAS DE ARRIBA",          45,
,"42034 BERATON",          48,
,"42035 BERLANGA DE DUERO",         347,
